"course_id","course_title","item_type","item_id","section","title","risk","requires_source_check","flags","source_path","review_status","reviewer","reviewed_at","source_notes","reviewer_notes","text"
"knee-mri","UCLA Knee MRI Interpretation Course","course-overview","knee-mri","course","UCLA Knee MRI Interpretation Course","standard","no","","src/content/courses.ts","","","","","","A systematic knee MRI interpretation curriculum for sports medicine fellows and orthopaedic residents. | Sports medicine fellows and orthopaedic residents"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-1","search-pattern","Verify & Orient","standard","no","","src/content/search-pattern.ts","","","","","","Confirm patient identity, laterality, and available sequences. Establish the clinical question and find the anchor slice before beginning interpretation. | Confirm correct patient and side | Identify all available planes (sagittal, coronal, axial) | Identify sequences (T1, PD FS, T2) | State the clinical question in one sentence | Find anchor slice: mid-sagittal through ACL/PCL + notch | Before hunting pathology, can you point to ACL, PCL, medial meniscus, lateral meniscus?"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-2","search-pattern","Bones & Marrow","high","yes","high-risk-keyword","src/content/search-pattern.ts","","","","","","Evaluate alignment, marrow signal, fracture lines, and subchondral changes. Identify bone bruise patterns that point to specific injury mechanisms. | Alignment: varus/valgus, patellar tracking | Marrow edema: location and pattern | Fracture lines (best on T1) | Subchondral changes | Bone bruise pattern (pivot-shift? dashboard? dislocation?) | In acute ACL injury, expect bone bruises at LFC + posterolateral tibial plateau | If edema is present, always ask 'why?': Trauma? OA? Stress? Infection?"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-3","search-pattern","Cartilage & Osteochondral","standard","no","","src/content/search-pattern.ts","","","","","","Systematically scan articular cartilage by compartment, identify osteochondral defects, assess stability, and search for loose bodies. | Scan cartilage by compartment: medial, lateral, patellofemoral | Look for thinning, fissures, delamination, focal defects | Check subchondral bone: sclerosis, cysts, edema | Search for loose bodies (notch, gutters, suprapatellar pouch) | Assess OCD: location, size, stability signs | Full-thickness defect + marrow edema is often clinically significant | Always report location + depth + size + edema + loose bodies"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-4","search-pattern","Menisci","medium","yes","numeric-threshold-or-named-criterion","src/content/search-pattern.ts","","","","","","Trace each meniscus from anterior horn through body to posterior horn, evaluate roots, apply the two-slice-touch rule, and measure extrusion. | Evaluate medial meniscus: anterior horn, body, posterior horn | Evaluate lateral meniscus: anterior horn, body, posterior horn | Check both roots (posterior medial and posterior lateral) | Apply two-slice-touch rule for tear diagnosis | Assess for displacement: bucket-handle, flipped meniscus | Measure extrusion on coronal images | Look for parameniscal cysts | A true tear: grade 3 signal on ≥2 images reaching a surface | If ACL is torn: look lateral, look posterior, look at the root | Significant extrusion? Actively search for a root tear"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-5","search-pattern","Ligaments","standard","no","","src/content/search-pattern.ts","","","","","","Evaluate the cruciate ligaments with primary and secondary signs, assess collateral ligaments and corner structures, and check the MPFL when indicated. | ACL: continuity, orientation, signal (primary signs) | ACL secondary signs: bone bruises, anterior tibial translation | PCL: continuity, signal, morphology | MCL: proximal to distal, deep vs superficial | LCL and posterolateral corner: popliteus, popliteofibular ligament | MPFL (if patellar instability indicated) | If ACL torn, slow down on menisci (bucket-handle, root, ramp) | PLC injuries are easy to miss—check LCL + popliteus systematically"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-6","search-pattern","Extensor Mechanism","high","yes","high-risk-keyword","src/content/search-pattern.ts","","","","","","Evaluate the quadriceps tendon, patella, patellar tendon, and retinacula. Prioritize MPFL assessment when patellar instability is suspected. | Quadriceps tendon: thickness, continuity | Patella: marrow signal, fracture, cartilage | Patellar tendon: tendinopathy vs tear | Retinacula and MPFL (especially after patellar dislocation) | If indication is patellar instability: prioritize MPFL and osteochondral fragments | Don't call patellar tendinopathy unless signal + thickening localizes to the tendon"
"knee-mri","UCLA Knee MRI Interpretation Course","search-pattern-step","step-7","search-pattern","Synovium/Bursae & Other","high","yes","high-risk-keyword","src/content/search-pattern.ts","","","","","","Assess the joint effusion, bursae, Baker's cyst, popliteal fossa, surrounding tendons, and neurovascular structures. | Effusion: quantify (small/moderate/large) | Fat-fluid level (lipohemarthrosis → fracture) | Bursae: prepatellar, infrapatellar, pes anserine | Baker's cyst: location, rupture, complexity | Popliteal fossa: masses, collections | Tendons: hamstrings, IT band | Neurovascular structures | Baker's cyst sits between semimembranosus and medial gastrocnemius | If painful calf swelling, consider Baker's cyst rupture"
"knee-mri","UCLA Knee MRI Interpretation Course","module-summary","mri-basics","module 1","MRI Basics","standard","no","","src/content/modules/index.ts","","","","","","Planes, sequences, and common pitfalls | Standard imaging planes: sagittal, coronal, axial | Key sequences: T1, PD FS, T2 | What each sequence is best for (T1 for anatomy/fractures, PD FS for fluid/edema) | Common artifacts and pitfalls (magic angle, truncation, motion) | How to window/level for optimal viewing | Identify the three standard imaging planes and their primary clinical applications | Distinguish T1, PD FS, and T2 sequences by signal characteristics | Recognize magic angle artifact, truncation artifact, and motion artifact | Adjust window/level settings to optimize evaluation of different structures"
"knee-mri","UCLA Knee MRI Interpretation Course","module-common-mistake","mri-basics:mistake:1","module 1","Calling increased signal in the posterolateral meniscus a tear on PD without checking T2","standard","no","","src/content/modules/index.ts","","","","","","Magic angle artifact disappears on T2. Always confirm meniscal signal abnormality on long TE sequences before diagnosing a tear."
